seed,mode,set_id,lmin_fit,kr_hat,fit_status,adoption_status,class_l1,q90_ratio
104,hybrid,2,0.3,4.0,weak_identifiability,rejected,0.03186175462325335,0.856751302346556
104,hybrid,2,0.5,4.050000000000001,weak_identifiability,rejected,0.01340307553434995,0.8605725098638747
104,hybrid,2,0.75,4.1,weak_identifiability,rejected,0.08064377198165167,0.8569385065582215
104,hybrid,3,0.1,3.3,ok,accepted,0.08286015035146216,0.9691632128953547
104,hybrid,3,0.2,3.25,ok,accepted,0.09156459964132706,0.9745143560012396
104,hybrid,3,0.3,3.25,ok,accepted,0.14127729693458926,0.9923521565418424
104,hybrid,3,0.5,3.3,ok,accepted,0.1426359201489184,0.9815837578815771
104,hybrid,3,0.75,3.25,ok,accepted,0.1640863492887103,0.9821299390239581
104,hybrid,5,0.1,3.9000000000000004,ok,provisional_accepted,0.010567856439523734,0.9515368537162304
104,hybrid,5,0.2,3.95,ok,provisional_accepted,0.02726622454476132,0.9430653348718465
104,hybrid,5,0.3,4.0,ok,provisional_accepted,0.0282203726478952,0.9349262973311175
104,hybrid,5,0.5,3.85,ok,accepted,0.1209573091849935,0.9345334030088676
104,hybrid,5,0.75,3.8000000000000003,ok,accepted,0.10060280129730045,0.9545207472304517
105,window_mc,1,0.1,2.8,ok,accepted,0.04043165955230344,0.5758885347268552
105,window_mc,1,0.2,2.55,ok,provisional_accepted,0.037277290357372525,0.6194737153140232
105,window_mc,1,0.3,2.6500000000000004,ok,accepted,0.040416421270162095,0.5894338890064159
105,window_mc,1,0.5,2.6,ok,accepted,0.043294818430826845,0.5306149059939468
105,window_mc,1,0.75,2.5,ok,provisional_accepted,0.04959417844928285,0.5692270395092414
105,window_mc,2,0.1,2.75,ok,accepted,0.050917520425366375,0.6236843036713189
105,window_mc,2,0.2,2.75,ok,accepted,0.07355974507385972,0.6286593327652577
105,window_mc,2,0.3,2.55,ok,provisional_accepted,0.06192871651644026,0.6688377867411265
105,window_mc,2,0.5,2.6500000000000004,ok,provisional_accepted,0.05712180088436289,0.6543426308100135
